,GDP,Inflation,Unemployment,CCI
2013-07-01,16953.838,,,
2013-08-01,,233.877,7.2,82.1
2013-09-01,,234.149,7.2,77.5
2013-10-01,17192.019,233.546,7.2,73.2
2013-11-01,,233.069,6.9,75.1
2013-12-01,,233.049,6.7,82.5
2014-01-01,17197.738,233.916,6.6,81.2
2014-02-01,,234.781,6.7,81.6
2014-03-01,,236.293,6.7,80.0
2014-04-01,17518.508,237.072,6.2,84.1
2014-05-01,,237.9,6.3,81.9
2014-06-01,,238.343,6.1,82.5
2014-07-01,17804.228,238.25,6.2,81.8
2014-08-01,,237.852,6.1,82.5
2014-09-01,,238.031,5.9,84.6
2014-10-01,17912.079,237.433,5.7,86.9
2014-11-01,,236.151,5.8,88.8
2014-12-01,,234.812,5.6,93.6
2015-01-01,18063.529,233.707,5.7,98.1
2015-02-01,,234.722,5.5,95.4
2015-03-01,,236.119,5.4,93.0
2015-04-01,18279.784,236.599,5.4,95.9
2015-05-01,,237.805,5.6,90.7
2015-06-01,,238.638,5.3,96.1
2015-07-01,18401.626,238.654,5.2,93.1
2015-08-01,,238.316,5.1,91.9
2015-09-01,,237.945,5.0,87.2
2015-10-01,18435.137,237.838,5.0,90.0
2015-11-01,,237.336,5.1,91.3
2015-12-01,,236.525,5.0,92.6
2016-01-01,18525.933,236.916,4.8,92.0
2016-02-01,,237.111,4.9,91.7
2016-03-01,,238.132,5.0,91.0
2016-04-01,18711.702,239.261,5.1,89.0
2016-05-01,,240.229,4.8,94.7
2016-06-01,,241.018,4.9,93.5
2016-07-01,18892.639,240.628,4.8,90.0
2016-08-01,,240.849,4.9,89.8
2016-09-01,,241.428,5.0,91.2
2016-10-01,19089.379,241.729,4.9,87.2
2016-11-01,,241.353,4.7,93.8
2016-12-01,,241.432,4.7,98.2
2017-01-01,19280.084,242.839,4.7,98.5
2017-02-01,,243.603,4.6,96.3
2017-03-01,,243.801,4.4,96.9
2017-04-01,19438.643,244.524,4.4,97.0
2017-05-01,,244.733,4.4,97.1
2017-06-01,,244.955,4.3,95.0
2017-07-01,19692.595,244.786,4.3,93.4
2017-08-01,,245.519,4.4,96.8
2017-09-01,,246.819,4.3,95.1
2017-10-01,20037.088,246.663,4.2,100.7
2017-11-01,,246.669,4.2,98.5
2017-12-01,,246.524,4.1,95.9
2018-01-01,20328.553,247.867,4.0,95.7
2018-02-01,,248.991,4.1,99.7
2018-03-01,,249.554,4.0,101.4
2018-04-01,20580.912,250.546,4.0,98.8
2018-05-01,,251.588,3.8,98.0
2018-06-01,,251.989,4.0,98.2
2018-07-01,20798.73,252.006,3.8,97.9
2018-08-01,,252.146,3.8,96.2
2018-09-01,,252.439,3.7,100.1
2018-10-01,20917.867,252.885,3.8,98.6
2018-11-01,,252.038,3.8,97.5
2018-12-01,,251.233,3.9,98.3
2019-01-01,21104.133,251.712,4.0,91.2
2019-02-01,,252.776,3.8,93.8
2019-03-01,,254.202,3.8,98.4
2019-04-01,21384.775,255.548,3.7,97.2
2019-05-01,,256.092,3.6,100.0
2019-06-01,,256.143,3.6,98.2
2019-07-01,21694.282,256.571,3.7,98.4
2019-08-01,,256.558,3.6,89.8
2019-09-01,,256.759,3.5,93.2
2019-10-01,21902.39,257.346,3.6,95.5
2019-11-01,,257.208,3.6,96.8
2019-12-01,,256.974,3.6,99.3
2020-01-01,21706.513,257.971,3.6,99.8
2020-02-01,,258.678,3.5,101.0
2020-03-01,,258.115,4.4,89.1
2020-04-01,19913.143,256.389,14.8,71.8
2020-05-01,,256.394,13.2,72.3
2020-06-01,,257.797,11.0,78.1
2020-07-01,21647.64,259.101,10.2,72.5
2020-08-01,,259.918,8.4,74.1
2020-09-01,,260.28,7.8,80.4
2020-10-01,22024.502,260.388,6.8,81.8
2020-11-01,,260.229,6.7,76.9
2020-12-01,,260.474,6.7,80.7
2021-01-01,22600.185,261.582,6.4,79.0
2021-02-01,,263.014,6.2,76.8
2021-03-01,,264.877,6.1,84.9
2021-04-01,23292.362,267.054,6.1,88.3
2021-05-01,,269.195,5.8,82.9
2021-06-01,,271.696,5.9,85.5
2021-07-01,23828.973,273.003,5.4,81.2
2021-08-01,,273.567,5.1,70.3
2021-09-01,,274.31,4.7,72.8
2021-10-01,24654.603,276.589,4.5,71.7
2021-11-01,,277.948,4.1,67.4
2021-12-01,,278.802,3.9,70.6
2022-01-01,25029.116,281.148,4.0,67.2
2022-02-01,,283.716,3.8,62.8
2022-03-01,,287.504,3.6,59.4
2022-04-01,25544.273,289.109,3.7,65.2
2022-05-01,,292.296,3.6,58.4
2022-06-01,,296.311,3.6,50.0
2022-07-01,25994.639,296.276,3.5,51.5
2022-08-01,,296.171,3.6,58.2
2022-09-01,,296.808,3.5,58.6
2022-10-01,26408.405,298.012,3.6,59.9
2022-11-01,,297.711,3.6,56.7
2022-12-01,,296.797,3.5,59.8
2023-01-01,26813.601,299.17,3.4,64.9
2023-02-01,,300.84,3.6,66.9
2023-03-01,,301.836,3.5,62.0
2023-04-01,27063.012,303.363,3.4,63.7
2023-05-01,,304.127,3.7,59.0
2023-06-01,,305.109,3.6,64.2
2023-07-01,27610.128,305.691,3.5,71.5
2023-08-01,,307.026,3.8,69.4
2023-09-01,,307.789,3.8,67.8
2023-10-01,27956.998,307.671,3.8,63.8
2023-11-01,,307.051,3.7,61.3
2023-12-01,,306.746,3.7,69.7
2024-01-01,28269.174,308.417,3.7,79.0
2024-02-01,,310.326,3.9,76.9
2024-03-01,,312.332,3.8,79.4
2024-04-01,28629.153,313.548,3.9,77.2
2024-05-01,,314.069,4.0,69.1
2024-06-01,,314.175,4.1,68.2
2024-07-01,,314.54,4.3,
